label,text
1,"They have good food and provide a generous portion for the price. My favourites are fajita and the steak sandwiches. Fries are awesome too. They used to have an amazing orabge lemonade, I miss it now."
2,"Went here after two days of trying to get a table. This small hidden resto is tucked away behind a larger restaurant. The first day we were told about 1.5 to 2 hours wait. We were way too hungry so we ate elsewhere. The second night we were told 30
Minutes so we just walked around and they called us within 10 minutes. The atmosphere and facade of the place is so cool! It feels like a garage/ typical Asian street food stall. The food was amazing. My favourite was hands down the salmon. The sauce was delicious. The uni bomb was kind of a let down. The flavours didn't marinate as well together. I wouldn't order that again, but was a good try. The only down fall was that it was very cold. Because it's so small people coming in and out of from the door let the heat out and all the cold in. Other than that, it was a great experience!"
3,"Wow, it's been a while since I've done a review....

As soon as I entered, stumbling into the bar chairs that are inexplicably placed directly in front of the entrance, I felt like I was home. Well, if home was a ultra-trendy-hipster-themed restaurant with bar chairs in front of the entrance.

The atmosphere here is very relaxed (I mean, they are hipsters). It feels like I should be friends with everyone here... But, strangely, I'm feeling a bit of a cold shoulder from the staff. I might be projecting, though. There is a very \""Starbucks\"" vibe here (stole that line from another review of another resto, forget which one). 

I was here for a \""business lunch,\"" even though I was dining alone (shhhh don't tell my accountant-- wait-- I am an accountant)

I wanted to try a couple different things so I ordered rillettes (memories of France :( ) and a baby greens salad. For dessert I ordered the apparently famous burnt marshmallow ice cream sandwich.

Interestingly, the rillettes alone were a bit sweet. The accompanying preserved sour cherries and pickled turnip made it even sweeter. Good thing was I still liked it. Portion was small, but then again, I was spoiled in France by having huge spoonfuls of it for supper at a friend's house... Along with the amazing Loire red it was a perfect experience. But I digress.

Actually, I don't digress-- the wine list is microscopic and at the same time too focused... A non-vintage Dolcetto D'Alba, a Spanish 2001 Tempranillo La Mancha 2001, and an Ontario Meritage 2007 is all they had for single glass reds! I peeked in their wine fridge and the selection was basically that-- Italian, Spanish and mainly Ontario. Boo.

Next up was the baby green salad with \""seasonal veggies\"" (heirloom tomatoes and cucumbers). I learned from the waitress that October is tomato season in Ontario (to clarify, the previous statement was written with extreme sarcasm). The salad was overdressed, but I like it that way-- how did they know?!?!? Greens were browning at the bottom (yuck), the hydroponic heirloom tomatoes tasted quite hydroponicky. However, the saving grace to the dish was a slight bitterness to the baby romaine, which I love, and creamy dressing and shaved sheep cheese were a perfect complement.

Finally, the burnt marshmallow ice cream sandwich. After two mini-dishes, the dessert is inexplicably gargantuan (I know I used the word \""inexplicably\"" twice. That is on purpose. I demand explanations.)  The dessert is good, but not as good as the Yelp hype, and not as good as the server sold it.

Finished off with a cappuccino that had some embarrassing latte art which I pretended not to see so that I wouldn't have to be drawn into the barista's whirlpool of shame. Actually I lied-- I didn't finish with the cap, I followed that with an espresso which was also inexplicably monstrous. I ordered a double which they somehow were able to conjure into a quadruple. 

Anyways, this is an OK place to go when you have a few bucks burning a hole in your pocket and are wearing your non-prescription clear Wayfarers and summer scarf with your ironic band t-shirt and espadrilles and feeling like savouring every single moment in life because really life is short and we should do more savouring shouldn't we. And on other non-such occasions as well."
2,grass jelly milk tea. There are many seats inside. Plenty of choices on the menu. Calories counts are labeled clearly. Wechat wallet and zhifubao are available.
2,"THE BEST IN TORONTO!
Coming from upstate New York-
This was the best way to end a trip to Canada. 
The BBQ at the table meat special of bulgolgi, pork belly, seafood and kalbi (we requested to exchange the chicken for kalbi, best choice ever) was more than enough for 3 hungry people. All servers were more than helpful and accommodating. All meats and seafood were seasoned to perfection! 

The owner and her son, Jason, made the dining experience unlike any other. They made my family and I feel like we were at home by conversing with us and helping us cook the BBQ in an authentic, juicy manner. Everything was spectacular and I would recommend this to any and everyone. Best Korean food and dining experience I have had in Long while."
2,Only way to go is scrolls. Their pizza is pretty good. Salads were small and not great value. I don't really understand the consistent line ups.
2,Very good bao sandwiches. Portions are good sized but not huge ... but definitely very tasty. Service was excellent. Carrot soup was also great!
2,"Their calamari would be considered their signature dish (IMO). However, the pizza are now a disappointment from yesteryear. They were once not as soggy. Their consistency of both quantity and quality has not diminished. I would prefer to see a less soggy pizza on my next visit. Perhaps I'll request it well done. Hopefully this solves the problem."
2,"Wish I could say something positive things about this place because the food is pretty good, but the service and the care they take of their guests leave much to be desired.
I have contacted them twice about my past experiences there and have yet to receive a response.
We were quoted 20 minutes at the door, but didn't realize this meant that it was 20 minutes just to get into the restaurant, not for a table.  Once inside, we waited another 45 minutes for our table, with our two kids.  
Once finally seated at our dirty table (wish I was kidding, there were still glasses left on it from the previous people), we waited 15 minutes for a server to acknowledge us, only to be told that he would be right with us. Another 10 minutes later, we actually managed to order drinks and food.  Kids' food actually came out right away, 5 minutes, ice cold, but they were hungry and it actually saved us the effort of cooling it down.  57 minutes later, our food showed up.  No apology for the wait, no acknowledgement, nothing.  Had to wait another 10 minutes for cutlery to actually eat our food because you couldn't find a server if you tried.  I had to go up the bar and ask for cutlery.  Would have loved to order another beer, or maybe some water, but once again, no one to be found.  People who got there after us were long done eating and leaving.
I wanted to ask for a manager, but once again, no one to be found and I just wanted to get out of there because the kids were acting up after our quick lunch turned into a 2.5 hour fiasco.

I wrote them twice about different things and like mentioned, have yet to hear anything back from them.
It's too bad because the food's actually really good, but the management, nor the staff seem to care about anyone.  They seemed to busy to care, or notice anything going on.  Would be a great establishment with the right person to lead them.

Won't be back and I'm making sure to tell everyone about our experience there."
2,"This place has been around for decades but has gone through a few different owner/operators.  The latest ownership change occurred over the last few months.    So we decided to check it out to see if there have been any noteworthy changes (or improvements).  

Sadly disappointed.  The place has had somewhat of a makeover.  Some new paint, new Tvs and new staff.   The menu has changed but with no great shifts in the overall patchwork approach.   Best way to describe the menu is pub meets diner  

We had crab cakes and a couple variants on the burgers.   

Meh.  

Crab cakes were quite clearly frozen.   Not a huge offence by itself but there was no heart and soul in the presentation or gArnish to make them standout.   2/10

Burgers were overcooked (burnt) and they tasted bland and almost identical despite quite different toppings.   Why bother with variants when they all taste the same?   2/10.   Fries were basic super fries but at least they cooked them as we asked (extra well done near burnt).   

Service was pleasant.  

Mixed bag of patrons detracted from the venue for us.   A few hardcore bar regulars.   A gang of ball cap wearing bieber wannabes who were loud and loaded dominated the mood.    Music was way too loud for 530pm.   


It was just weird and the food was not enough to go back for.  

Too bad.   This place was really something 25 years ago known for the best wings in Canada.    They seem to have lost their focus and are trying to be all things to all people instead of catering to a niche for the middle class families that dominate the surrounding neighbourhood.   Hope someone with vision and courage takes over in the near future and revives this local landmark.   


Good luck Grover."
2,Got bone in chicken  combo.  Was good not to hot.  Hot sause on the side to spice it up.  The doubles are thr best I've had tho awesome.   Place is new and clean.
2,"I had lunch on the patio at Joey at the Eaton Centre today with a friend.  I was not disappointed with either the service and the food.  

As in places like Earls and South of Temperance, the servers are all attractive women wearing sky-high heels and short black mini dresses.  I thought I was in a Robert Palmer video shoot when I first walked in as they were all congregating around the hostess.  Clearly, this will be a big draw for the Bay Street crowd.  

My dining companion and I shared the Ahi Tuna Taco which were fabulous.  The sushi grade tuna was perfectly cooked.  There were four little tacos which came with a delicious sauce and were nicely presented.  

I had the Sangria (delish!) and the Panang Prawn Curry Bowl (nice pesentation).  My friend had the Viva salad which he really enjoyed as well.  

Loved the vibe and decor and the open feel of the restaurant.  I also liked that the servers kept bringing finger food to the table for us to try.  

Joey is a welcome addition to the neighbourhood.  I will definately be back."
1,"2.5 star

Urraca Resto Lounge has been opened since July is still in growing pain. A little confused, a lot of uncertainity from the decoration, the menu and the staffs.

Is it a food place? Is it a drinking place? What's the price point? How to get the crowd in?

As a lounge, Urraca is just too bright with that huge chandelier in this relatively small space. The sofa does feel awkward, maybe I ate too much that it just sagged all the way down. 

Our waitress was definitely confused when I asked for the drink menu. No drink menu? But they can make anything for us? What's the specialities? We can make anything? $3.50 domestic beer is the only thing seems to have a pricing on!

Menu though quite interesting with a Korean fusion twist. But after all they are all deep fried bar grabs just dressed up with Korean ingredients. We shared

Bulgogi Poutine ($7)
- good as snack with generous portion

Kimchi Rice Ball ($7)
- the better dish of the night, crispy outside and mushy inside and quite delicious too
- huge portion!! 

Roast Pork Belly ($10)
- the pork belly were so deep fried that they were rubbery and dry
- roast vs deep fried? maybe they should change the description or just take that off the menu

Urraca does have a lot of potential to be a good place to eat and hang out with friends. Price is good with generous serving. But management really need to step up and at least dim the light, have a drink menu put together and maybe get some beers on draft?!"
1,"This place is surprisingly not that bad.

Their BBQ pork with veggies combo is pretty good in my opinion.  When the lady asks if you want BBQ sauce on your pork, definitely accept, it is delicious!  It comes in at just around $5 and is more than enough food to fill you up for lunch.

Unlike many of the other restaurants in the food court, they have good value regardless of if you are a student or not, which is a nice touch.

Really nothing mind blowing here, but if you aren't sure which place to go to when at this food court and you enjoy Chinese then this place is a decent option.  It is also really cheap, in case your wallet took a big hit from last night's bar hopping."
3,"I didn't HATE the place! Hate is a strong word but I wouldn't come back again for its food! My friend says that people come at night and drink. I came here during the middle of the afternoon and I didn't enjoy my experience here. 

Food: They had a lot of asian fusion. I for one, despise Asian fusion cuisine! It's just weird... if i want Asian food, I would get asian food. Unless I have no other alternative... 

I ordered a burger there and it tasted OK. Not something i would pay that much for again. The prices weren't high but taking the taste into consideration, i wouldn't pay over $10 for an OK burger and fries. The french fries weren't that great... I had to force myself to eat it; just so i didn't waste food. 

Service: VERY SLOW. The place was almost empty during the middle of the day but the services wasn't very good. The waiter was slightly stuck-up! He wasn't very friendly but he wasn't rude. He seemed unhappy to be there and serving us. 

The atmosphere: The place looked old like it needs to be renovated. IDK if that's intentional or not."
1,"Have you ever been blown away by a broth-based foodstuff? I almost walked past the narrow storefront, but you can't miss the lunch-hour line-up snaking out the door. For $11 bucks you get soup 'n' a wrap; perhaps a comfort to those not sated by soup alone. 

While most people do takeout, we snagged a spot on the back patio (which is bigger than the entire restaurant). My meal came out on a lazy susan (for some reason) and I dove in with vehemence.  The lamb curry wrap was an amazing blend of flavours, and a corn chowder literally made me weep (not literally). It was amazing. Go there, eat soup.  Do not delay.

Obligatory Title Pun: These soups are RAVI-shing.

Menu Readability: Where to start? Everywhere you look are menu items manically brushed in Gerald Scarfe-ian printing.  (Think \""Fear and Loathing\"" less the bats.) 

Need to mention: A communal table divides the restaurant that appears to be a cross-section slab of an enormous tree.

What this place teaches me about myself: It took everything in me not to sing the \""Soup Crimp\"" while in here.

http://www.youtube.com/watch?v=Lxj4SIVqL24&feature=related"
1,"The reviews don't lie, such a great Banh Mi, really affordable as well. Only docking it a star cause the place is so small there was nowhere to sit so I had to eat it outside. Get the Pork Belly one!"
2,Looking for wings in Cabbagetown? This is a decent place. Clean. Very nice owner. Decent specials. Fully recommended.
1,"Well after my first experience here was not the Best, I certainly wanted to give it another try....I met my friend James here for lunch today.........and oh my it was worth the wait ! 

The food was fantastic. I had the cheese sandwich and James had the pork, we both had the chowder......well the soup was wonderful and the portion size was just perfect for lunch.
 
My sandwich was great - didn't realize it was going to be a hot sandwich - grilled cheese, so when the warm sandwich with homemade ketchup arrived it was a pleasant surprise, and not enough ketchup.....but it  was just wonderful !  

James loved his sandwich with the exception of the sunny side up egg on top...he didn't know it would arrive like that. 

The specials and the square peg that were described for the day sounded just incredible.......

$30 + $5 tip was a pretty good deal for lunch.

I do have to mention that the service was very slow...out of 10 - service was around a 4. After we received our meal, he was not attentive at all......don't think that will stop me from returning as I'm sure I will be back !"
1,"I come here for the lunch specials regularly. At $10-12 for pasta, sandwiches or meals that come with soups or salads it's very reasonably priced. The decor is lovely and it has a more casual feel to it than other italian places in this neck of the woods. The tiramisu is to DIE FOR! I wish the bread served in the restaurant was warmer, and came with butter that wasn't rock hard. Fresh baked bread with butters, oils and vinegars is just such a staple."
2,Stopped in after elmwood spa today for a girls day and grabbed some lunch.  Cute little sandwich place with friendly staff.  Ordered the TLP and it was great.  You can add your own condiments as well.  Would return if in the area again for sure!
2,"Went there on a Friday night with some friends. They have a good number of tables and the place is fairly good size. Tried 3 different desserts amongst us all, I really liked the brick toast  which was basically a 2\"" thick slice of egg bread with condensed milk and whipped cream and milk. Fantastic. Also tried the blueberry cheese cake and la roca chocolate cake. Slices were good size and for the price was pretty standard compared to other places. The brick toast though was definitely better than other places and would Def try again. The service was pretty good. The ladies behind the counter were very nice and welcoming."
2,"I have been to La Carnita a few times now and finally decided that it's time to contribute a review. 

Expect to wait a while before you get a table. Every time I've come here, we started with a few drinks at the bar. Because the line up is so long, we usually down about five drinks more than we expect and give in and just have dinner at the bar. This is a plus as the bartenders are pretty good. 

Speaking of drinks, they have a good selection of the usual hipster craft beers as well as OE in a paper bag. It goes down well with the 90s hip hop. 

The tacos do not disappoint. I've tried most of them. Three is usually enough for someone with an appetite. I recommend the fish one, but it's not like you'll be upset with the others. The corn was pretty good, but don't order it if you're on a date or else you'll be surreptitiously trying to remove corn from your teeth for the remainder of the date. 

Finish dinner off with a few more drinks. By then you're probably drunk. That's when you need to order the Churros. I can probably eat 10 of those. And then drink whatever they're dipped in."
2,"Love this cute place. Came here for lunch and we had the Ahi Tuna Sandwich with double seaweed salad ( you get 2 sides) and the Crispy Haddock with crispy potatoes and slaw.

Both were cooked perfectly, especially the Crispy Haddock.
Service was very fast. Great fresh food even when you have a short lunch!!!"
2,"Place was garbage. Long lines that are not worth the wait. Spend time in another busy Toronto line rather than this place. Crowded bar, weak serving skills, overly power hungry security, and nothing special about the set up. Saw a group behind us not be allowed in because they had beer in line at the back of the line when they weren't even in front of the bar. Security made them do the whole line to then tell them they are not allowed in. When they tried to reason with the dumb bouncer he only made it worse. Joke of a place."
3,"I ate at Pappa's with a few friends during Taste of the Danforth and it was great, especially given the high volume of customers this past weekend. The tirokefteri dip was incredible - very spicy and flavourful. 3 guests had the chicken souvlaki dinner, and the chicken was moist and tender, with generous portions of potatoes, rice and greek salad. I ordered the 'Garithes Me Feta' and was only disappointed at the fact that there wasn't more of it. At $13 for an appetizer, I hoped to receive more than 4 pieces of shrimp, but the flavours of the roasted tomatoes and onions were great!! The baklava dessert was a generous portion, and delicious. 
The service was a bit slow, but that's to be expected given that it's probably the busiest weekend of the year. Our server, Matthew, was attentive and provided excellent recommendations. 
I will definitely be returning!!"
2,"Went on 3pm on a Saturday and there was no wait. This has been the best place I've had pho in Toronto. I had the bun rieu and the fiancé had bun bo hue. We also tried the papaya salad which was also very good. Would I wait in line for this place? No. Would I come again? Yes. 
Staff were pretty friendly as well!!"
2,"This place would have gotten a 5 star rating had the service been faster.

What I can say is that the food speaks for itself at this place.

I's recommend the Tuna Tartar (If you are feeling adventurous) as well as the vegetable Udon Soup (Amazing Broth!)

My wife and I went for our anniversary and I'm happy to report that we had a great time at Yuzu No Hana, The decor was great and the food was fantastic and fresh."
2,"Not what you expect from a typical diner- the food is exceptional with attention to detail. Beautiful presentation and great service. Wait times are long (45min on a Saturday at noon) but well worth it. Small, cozy, and beautiful touches with art and marble tabletops. Instagrammers haven!

Ordered the Shroom's on toast with a side of hashbrowns- you'll want to order both! Packed with flavour, there's no skimping on ingredients here.

They also employ women from the local YWMCA and play the best hits from the 90's- what's not to love?

Note- while waiting for your table head on over to Hailed Coffee for a delicious latte or cappuccino"
2,"Sorry to say it, but don't waste your time with this place. Everything was overcooked and bland. Nothing tasted fresh and I was overall disappointed."
2,"Kibo is one of my favourite places on St. Clair! The sushi quality is good. The miso soup is the best ! If you have friends going with you, I recommend the love boats as long as you all can eat sashimi and sushi. The service is always 100% and they are super nice. 

The bento boxes are also a great size is every you weren't craving sushi. Overall, I recommend this place if you're looking for a sushi spot near St. Clair and Bathurst"
3,"Had lunch here a little over a week ago with a group of colleagues.  We made a reservation for the patio and I am happy we did.

We arrived on time and were seated right away.  There were 8 of us in total and the service was really speedy considering the size of the group.  Our server was extremely knowledgeable, very friendly and accommodating.  

We ordered the crab cakes, the Caesar salad, crispy chicken, fish and chips and a host of other dishes.  The crab cakes, fish and chips and the crispy chicken proved to be favourites among the group.  I can't honestly remember what every one ordered, but those who ordered these dishes raved about them the most (including me, as I had the crab cakes and the crispy chicken).  The crab cake was extremely flavourful and perfectly cook.  The chicken was a little dry, but the coating on the chicken was very tasty and quite aromatic.  My colleague across from me had the fish and chips and she said it was good.  The French fries that came with the fish and chips were really good too.

Their wine list is quite extensive and reasonably priced.  They also had freshly made juices and tho I didn't have any, those who did raved about them.

The patio is quite nice, with ample seating and a lot of tropical plants surrounding the perimeter of the patio.  It's a great lunch spot for the patio alone.  From what I understand, the patio is used by Far Niente during lunch and Four uses It in the evenings.

After lunch, it had started to rain so we made our way inside for dessert, which was by far, the most disappointing part of the meal.  The creme brulee was average at best, the chocolate layer cake tasted like it was fresh out of the freezer, and the gelato tasted like chocolate soft serve ice cream.  I guess this place has built it's reputation on its entrees, not its desserts, which is unfortunate.  The coffee we had with dessert was quite good though.

Our server brought us our bill  -18% gratuity had been added automatically given that we were a group of 8, which I didn't mind since it saved me the trouble of figuring it out myself.

This is a good spot for lunch/dinner if you're paying with a corporate card, as the ambiance lends itself well to business lunches/dinners, but I wouldn't want to come here on a date, the food is good, but the feel is definitely corporate."
2,"Last Friday came for dinner for my boyfriend 's birthday at Dragon Pearl at York Mills. It was my first time eating at Dragon Pearl. We had 25 people gathering in the VIP private room, which is fancy. There are two big tall chairs at each table. The staff there were very responsible and not only they gave him a free meal, but also offered him one heart-shape birthday cake and sang songs together as well which was a nice surprise! It wasn't very crowded and the ambiance was nice. I noticed there was always staff around leading people to their tables, cleaning up tables quickly, always attentive, my glass of water was never empty and our dishes were cleared almost instantly. All in all our experience here was great! Thank you for the kind service and hospitality!"
2,"Snarky server that was super disinterested and wouldn't look at us when we were ordering set the tone for my most recent visit. Sorry for being a bother, I guess. 

Food wise, this is nothing like it was when I made my first review. I've eaten here three times recently and each time everything was a missed opportunity. Ribwhich, bangers and mash, shroomie doom dooms, popcorn tofu, butter chicken burrito, Coleslaw, rib dinner; all lacking flavour, all remarkably tasteless.

Sad times. Food so bland I felt the need to update my review."
2,"Oh for the love of god.  I somehow ended back up here again to have some drinks with some friends and unfortunately had to use their bathroom.  Again, 3 months later, water leaking out of the ceiling in the women's bathroom into a plastic tray that was filled with unsightly yellowy water.  And, while I was washing my hands, some water dripped from the ceiling out of a bubble, on to my head.  SHUDDER!!!  I'm worried that the entire floor is going to collapse from rot.  

And this time around, staff were not very friendly.  What's going on here?"
2,"I am a Fish n Chip connoisseur (from NZ & AUS) & this place is AMAZING! I had the $10 lunch special, sandwich, pickle & fries & was super happy. The fish is FRESH which really makes a difference. Nth America does not have what I call 'proper chips' (thick cut, local potatoes) but this place is definitely the best I've had in Toronto. Great job, keep it up. Support these guys!! I will be back"
1,Friendly staff. Delicious ingredients. One price for pizza and any number of toppings. Bottomless soft drinks. Nice decor. Free WiFi.  Work gang loved it. Will be one of our new goto lunch spots.
1,This was my first dim sum experience and overall it was an enjoyable one! Although I don't have much to benchmark the experience against I thought the food was good but didn't overly impress me. Restaurant was quite large and loud - as expected for a dim sum restaurant especially at this price point. Price was reasonable with 5 items and tea coming to around $25. I'm not going to pretend I know exactly what I ate - my girlfriend ordered everything!
2,"After eating the yummiest gyro in the land of gyros- Greece (in oblix restaurant in Santorini), we had been craving really good gyros for a long time. So we planned to stop her for lunch on our way to Toronto. The gyros were served as in oblix with fries, yummy tzatziki and without lettuce but i think the bread could have been better... Perhaps fresher. I'd go there again."
2,"The Rudy Burger is the closest thing to a Shake Burger from Shake Shack that I've been able to find in Canada. I just can't get enough. Best burger in TO (and these are bold words coming from a longtime Burger's Priest fan).

The deep-fried pickles are also delicious. Poutine is hit or miss (sometimes it's melted mozzarella instead of cheese curds). But if I wanted a killer poutine I'd go elsewhere!"
2,"mmmmm soups... 

It's not often you get to slurp good soup to your heart's content and still have some leftover in the bowl (why is soup always served in such negligible portions?). Here at Ravi Soups, you get a nice big bowl of gourmet flavours like curried lentil and apricot, roasted corn etc. etc. The soup really takes the cake. 

But then, you go on and make a stoopid mistake like ordering a wrap. And in the sharpest contrast ever, get served what should be hospital food: soggy white wrap, boiled chicken and unmemorable filings. In one word: Sapless.

Reader Poll: Have YOU ever dipped your wrap in your soup?"
2,"Food is amazing! Have to deduct one star, for not having an accessible washroom on the same level as the restaurant. Washrooms down steep set of stairs. Awkward for those who have mobility issues."
1,"I had dinner here the food was amazing and the service was so nice.  I would definitely go again.

The prices for a really nice night out are very reasonable for a three course meal.  Its very small and simple, but the foods is delicious."
1,All hail poutine! Portions are huge and served with care. Embarrassed to say I ate a portion and a half. Friggin' worth it!
2,"The jambalaya is a meal on its own and well worth the adventure!  Good food, good service and general ambience.

But gosh, the parking is fun!  The closest lot featured an automated machine that claimed to work but didn't give a receipt so who knows?  (BTW, it didn't appear on the monthly statement but it did keep the money of the next guyI warned him!)  

Not wanting to have to recover a towed vehicle and spoil the evening, I moved to another lot ... it took my money and gave me a receipt ... that was blank!  I put it on the dash and took a chance.  It was worth it!

It`s all been said before; accessible."
2,"I'm still thinking about those Red Velvet Pancakes. We arrived on a Saturday morning at 9:10 AM, and the main floor was already full of seated guests. We were seated by 9:25 AM, in the upstairs seating area, which was bright, clean, with huge windows, and spacious. By the time we left at 10:30 AM, there was a line of people waiting for tables. Make sure you come early, or you'll be waiting!

First, parking. We found free street parking just a block east on Armadale Ave (a less than 2 minute walk to the restaurant). 

Second, the food. We ordered: a) a coffee (free refills), b) a tea (oolong), c) red velvet pancakes, d) a side of bacon (because, obviously), and e) huevos rancheros. Overall, a hearty, delicious meal. The huevos rancheros were average to decent - imagine gigantic nacho chips topped with minimal guacamole, and salsa, for $14. It definitely needed more guac (for the price, anyway). But... the red velvet pancakes made up for it. Fluffy, light, with the fresh scents of cocoa wafting through your nostrils, it was heavenly. We were expecting overtly sweet, dense pancakes after seeing pictures, but it was absolutely perfect. Wonderful, light, moist texture and just the right amount of sweetness. Combined with a side of crispy, fresh bacon, it was the perfect way to start off a Saturday. 

Lastly, service was wonderful and attentive. Thanks to Calla for making our first time at their restaurant a great one, and for excellent service!

For two people, with tax and tip, we paid $48.00."
1,"Quite a stroll from me, but well worth it!  I look forward to going back.
Very bright, open space.  The decor is trendy and simple.  There is lots of seating, but it never feels claustrophobic or too close for comfort with the people beside you.  The coffee and pastries were delicious and fairly priced.
The area and the shop had a layed back vibe which was great!  Count me in!"
2,"This location is still open but shouldn't be. It's terrible service. I've waited up to 30 minutes for TAKE OUT. I've been given dried hard rice and beans before. The strips are the size of half a strip for other locations. Fries are dry--I've even seen fresh fried fries be dropped out of the fryer in a brick to be broken up. Speaking of--you get the smallest pinch of fries with your combo, about half the amount of a normal serving. 

Skinny guy that works cash is an asshole--very condescending. No one cleans up the place. There's been times a whole entire section of tables was full of bits of food and trays with bones and cups. Take out or dine in, had to always ask for napkins or a spork. No napkins available to just take when needed.

This location was basically the relocation of the Yonge and Wellesley location before it got shut down for condo development. But it's an absolute dump. You're better off walking to the one at Yonge and Dundas or even better, the one near Yonge and Isabella."
2,"it's good overall, the chicken is just  touch in the dry side. The customer service is non existent sadly ."
2,I was so disappointed with this place. What a yukki food. I have chicken vandaloo and I had a light food poising after that. It's a first time in a long long time. Starters were so so. We had calamari and nachos which were not bad. I was with my friends and some of them had a burger and some other chicken. Fries which came with it were overcooked. Burger was so so because my friends didn't finish it. But the place itself looked very nice and our waitress was great. Very disappointed with food though.
2,"This place is not even fair! Do you know when you bite into something and you don't even know how that item exists in your life and how you don't know how often you need to come there but you need it every day?!!! That is how I feel about their matcha brownies! 
They make the brownies in house! Be warned that they contain walnuts for anyone who is allergic! 

Matcha ice cream is a goooooooooo as well as their cheesecake! But seriously if you go to Konjiki Ramen (they share the space) get yourself a damnnnnn brownie!!! Oh wait don't because then they'll sell out before I can get more"
2,The food here is pretty good. But the portions are really small and the service was terrible. There was a manager/owner and employee behind the counter. The employee just did not seem happy to be there. Was pissed off the whole time he was taking and preparing the order. Unimpressed with the overall experience. Waste of prime Toronto real estate
